property,platform,surface_type,target_name_or_handle,target_url,status,owner,backup_admin,profile_asset,banner_asset,default_link,copy_source,smarsh_status,metricool_brand,metricool_status,starter_posts_status,next_action,notes
Talley Wealth,Website,Website,Talley Wealth,https://talleywealth.com/,live_main_site_david_hub_live_2026_06_29,David,N/A,public/brands/talley-wealth/logo.webp,N/A,https://talleywealth.com/,content-pipeline/PROFILE-ASSET-KITS.md,existing/verify,Talley Wealth,existing/verify,N/A,continue normal live-site verification,Main advisory destination; /david and /david-talley verified live on 2026-06-29
Talley Wealth,Instagram,Social,@talleywealth,https://www.instagram.com/talleywealth/,public_live_verify_profile,David,Stephenee,existing/audit,existing/audit,https://talleywealth.com/,content-pipeline/PROFILE-ASSET-KITS.md,verify,Talley Wealth,existing/verify,existing/continue,audit profile language and image,Current public bio is David-forward
Talley Wealth,Facebook,Page,Talley Wealth,unknown,existing/verify,David,Stephenee,existing/audit,existing/audit,https://talleywealth.com/,content-pipeline/PROFILE-ASSET-KITS.md,verify,Talley Wealth,existing/verify,existing/continue,audit profile language and image,Main advisory Facebook page
Talley Wealth,LinkedIn,Company Page,Talley Wealth,https://www.linkedin.com/company/talleywealth,public_live_profile_outdated,David,Stephenee,existing/audit,existing/audit,https://talleywealth.com/,content-pipeline/PROFILE-ASSET-KITS.md,verify,Talley Wealth,existing/verify,existing/continue,audit company profile language,Public page shows older entrepreneurs executives pre-retirees positioning
Talley Wealth,Google Business Profile,GBP,Talley Wealth,unknown,existing/verify,David,Stephenee,existing/audit,existing/audit,https://talleywealth.com/,content-pipeline/PROFILE-ASSET-KITS.md,verify,Talley Wealth,existing/verify,existing/continue,audit GBP description and photos,Local planning brand
Talley Wealth,X,Social,@talleywealth,unknown,metricool_connected_verify_public_url,David,Stephenee,existing/audit,N/A,https://talleywealth.com/,content-pipeline/PROFILE-ASSET-KITS.md,verify,Talley Wealth,existing_connected_handle_talleywealth,existing/continue,audit handle and public profile,Metricool status shows X connected as talleywealth
Talley Tax,Website,Website,Talley Tax,https://www.talleytax.com/,live_www_canonical,David,N/A,Talley Tax logo,N/A,https://talleytax.com/,content-pipeline/PROFILE-ASSET-KITS.md,existing/verify,Talley Tax,brand_created_id_6466164,N/A,audit site and connection path,Separate tax business
Talley Tax,Instagram,Social,@talleytax,https://www.instagram.com/talleytax/,public_bio_verified_metricool_connected_2026_06_29,David,Stephenee,Talley Tax logo,N/A,https://talleytax.com/,content-pipeline/PROFILE-ASSET-KITS.md,connected_smarsh_2026_06_29_user_reported,Talley Tax,connected_instagram_full_access_2026_06_29,ready_for_routed_scheduling,scheduling can begin,Facebook linked Instagram to Talley Tax page; Metricool shows Professional account talleytax
Talley Tax,Facebook,Page,Talley Tax,https://www.facebook.com/profile.php?id=61591034447622,profile_and_banner_live_verified_2026_06_29,David,Stephenee,content-pipeline/brand-assets/talley-tax/talley-tax-stacked-profile-navy.png,content-pipeline/brand-assets/talley-tax/talley-tax-banner.png,https://talleytax.com/,content-pipeline/PROFILE-ASSET-KITS.md,connected_smarsh_2026_06_29_user_reported,Talley Tax,connected_brand_id_6466164,ready_for_routed_scheduling,clean username when Facebook allows; scheduling can begin,Facebook page id 61591034447622 asset 1239537032569686
Talley Tax,LinkedIn,Company Page,Talley Tax,https://www.linkedin.com/company/talley-tax/,public_live_metricool_connected_2026_06_29,David,Stephenee,Talley Tax logo,optional,https://talleytax.com/,content-pipeline/PROFILE-ASSET-KITS.md,connected_smarsh_2026_06_29_user_reported,Talley Tax,connected_brand_id_6466164,ready_for_routed_scheduling,optional profile polish; scheduling can begin,LinkedIn company id 130434762 overview saved
Talley Tax,Google Business Profile,GBP,Talley Tax,unknown,verified_google_business_profile_metricool_connected_2026_06_29,David,Stephenee,Talley Tax logo,content-pipeline/brand-assets/talley-tax/talley-tax-banner.png,https://talleytax.com/,content-pipeline/PROFILE-ASSET-KITS.md,connected_smarsh_2026_06_29_user_reported,Talley Tax,connected_gbp_2026_06_29,ready_for_routed_scheduling,optional profile/photo polish; scheduling can begin,Google Business Profile Manager shows verified Talley Tax location; Metricool connected Talley Tax GBP
Talley Tax,X,Social,N/A,N/A,deferred_keep_x_under_talley_wealth_2026_06_29,David,Stephenee,Talley Tax logo,N/A,https://talleytax.com/,content-pipeline/PROFILE-ASSET-KITS.md,N/A,Talley Tax,not_applicable_deferred,do not schedule,do not create or connect separate X account unless strategy changes,David tried adding new X accounts and opted to skip; existing Talley Wealth X remains the only X surface
Retire With Talley,Domain,Domain,retirewithtalley.com,https://retirewithtalley.com/,placeholder_godaddy_live_not_redirecting_verified_2026_06_29,David,N/A,N/A,N/A,https://talleywealth.com/financial-advisor-for-pre-retirees,content-pipeline/PROFILE-ASSET-KITS.md,N/A,Retire With Talley,brand_created_id_6466168,N/A,set redirect to pre-retiree page or replace placeholder,Current page is Go Daddy Website Builder and still says Solutions for a Smarter Future
Retire With Talley,Instagram,Social,@retirewithtalley,https://www.instagram.com/retirewithtalley/,profile_bio_headshot_live_creator_meta_metricool_connected_2026_06_29,David,Stephenee,content-pipeline/brand-assets/retire-with-talley/retire-with-talley-david-profile.jpg,N/A,https://retirewithtalley.com/,content-pipeline/PROFILE-ASSET-KITS.md,connected_smarsh_2026_06_29_user_reported,Retire With Talley,connected_professional_instagram_2026_06_29,ready_for_routed_scheduling,add website link from Instagram mobile app when available; scheduling can begin,Live bio shortened to 144 chars; desktop Instagram blocks website link editing; Meta linked to Retire With Talley Facebook Page and Metricool shows Professional account retirewithtalley
Retire With Talley,Facebook,Page,Retire With Talley,https://www.facebook.com/profile.php?id=61591211080219,headshot_profile_and_banner_live_verified_2026_06_29,David,Stephenee,content-pipeline/brand-assets/retire-with-talley/retire-with-talley-david-profile.jpg,content-pipeline/brand-assets/retire-with-talley/retire-with-talley-mountain-banner-wide.png,https://retirewithtalley.com/,content-pipeline/PROFILE-ASSET-KITS.md,connected_smarsh_2026_06_29_user_reported,Retire With Talley,connected_brand_id_6466168,ready_for_routed_scheduling,clean username when Facebook allows; scheduling can begin,Facebook page id 61591211080219 asset 1163866940148256
Retire With Talley,LinkedIn,Showcase Page,Retire With Talley,https://www.linkedin.com/showcase/retire-with-talley/,profile_and_banner_live_verified_2026_06_29,David,Stephenee,content-pipeline/brand-assets/retire-with-talley/retire-with-talley-profile.svg.png,content-pipeline/brand-assets/retire-with-talley/retire-with-talley-mountain-banner-wide.png,https://retirewithtalley.com/,content-pipeline/PROFILE-ASSET-KITS.md,connected_smarsh_2026_06_29_user_reported,Retire With Talley,connected_brand_id_6466168,ready_for_routed_scheduling,scheduling can begin,LinkedIn showcase id 130424813 overview/tagline and media saved and verified without Medicare wording
Retire With Talley,X,Social,N/A,N/A,deferred_keep_x_under_talley_wealth_2026_06_29,David,Stephenee,content-pipeline/brand-assets/retire-with-talley/retire-with-talley-david-profile.jpg,content-pipeline/brand-assets/retire-with-talley/retire-with-talley-mountain-banner-wide.png,https://retirewithtalley.com/,content-pipeline/PROFILE-ASSET-KITS.md,N/A,Retire With Talley,not_applicable_deferred,do not schedule,do not create or connect separate X account unless strategy changes,David tried adding new X accounts and opted to skip; existing Talley Wealth X remains the only X surface
David Talley Personal,Website Hub,Website,David Talley,https://talleywealth.com/david,live_200_verified_2026_06_29,David,N/A,public/brands/talley-wealth/david-talley.webp,N/A,https://talleywealth.com/david,src/pages/brands/talley-wealth/david.astro,N/A,David Talley Personal,brand_created_id_6466174,N/A,use as temporary David personal destination,Temporary hub; /david-talley redirects to /david and both returned 200 on 2026-06-29
David Talley Personal,LinkedIn,Personal Profile,David Talley,https://www.linkedin.com/in/david-talley-cfp/,existing_connected_metricool_2026_06_26,David,N/A,public/brands/talley-wealth/david-talley.webp,existing/audit,https://talleywealth.com/david,content-pipeline/PROFILE-ASSET-KITS.md,connected_smarsh_2026_06_29_user_reported,David Talley Personal,connected_brand_id_6466174,ready_for_routed_scheduling,optional headline/about polish; scheduling can begin,Preserve TEDx and CrushingIt.ai credibility
David Talley Personal,X,Social,N/A,N/A,deferred_keep_x_under_talley_wealth_2026_06_29,David,N/A,public/brands/talley-wealth/david-talley.webp,N/A,https://talleywealth.com/david,content-pipeline/PROFILE-ASSET-KITS.md,N/A,David Talley Personal,not_applicable_deferred,do not schedule,do not create or connect separate X account unless strategy changes,David tried adding new X accounts and opted to skip; existing Talley Wealth X remains the only X surface
